klassisch,ˈklasɪʃ,klassischer,ˈklasɪʃɐ,klassischsten,ˈklasɪʃstn̩,Lehnwort.la
modern,moˈdɛʁn,moderner,moˈdɛʁnɐ,modernsten,moˈdɛʁnstn̩,Lehnwort.fr
nah,naː,näher,ˈnɛːɐ,nächsten,ˈnɛːçstən,räumlich:zeitlich:abstrakt
spezial,ʃpeˈt͡si̯aːl,spezialer,ʃpeˈt͡si̯aːlɐ,spezialsten,ʃpeˈt͡si̯aːlstn̩,
muttersprachlich,ˈmʊtɐˌʃpʁaːxlɪç,-,-,-,-,Ableitung.-ich
dringend,ˈdʁɪŋənt,dringender,ˈdʁɪŋəndɐ,dringendsten,ˈdʁɪŋənt͡stn̩,Ableitung.Konversion
praktisch,ˈpʁaktɪʃ,praktischer,ˈpʁaktɪʃɐ,praktischsten,ˈpʁaktɪʃstn̩,de
schnell,ʃnɛl,schneller,ˈʃnɛlɐ,schnellsten,ˈʃnɛlstn̩,de
lieb,liːp,lieber,ˈliːbɐ,liebsten,ˈliːpstn̩,de
verschieden,fɛɐ̯ˈʃiːdn̩,verschiedner/verschiedener,fɛɐ̯ˈʃiːdnɐ/fɛɐ̯ˈʃiːdənɐ,verschiedensten,fɛɐ̯ˈʃiːdn̩stən,Ableitung.Konversion
einfach,ˈaɪ̯nfaxə,einfacher,ˈaɪ̯nfaxɐ,einfachsten,ˈaɪ̯nfaxstn̩,de
Wiener,ˈviːnɐ,-,-,-,-,Ableitung.-er
traditionell,tʁadit͡si̯oˈnɛl,traditioneller,tʁadit͡si̯oˈnɛlɐ,traditionellsten,tʁadit͡si̯oˈnɛlstn̩,Ableitung.-ell:Lehnwort.fr.la
weiß,vaɪ̯s,weißer,ˈvaɪ̯sɐ,weißestes,ˈvaɪ̯səstn̩,de
selten,ˈzɛltn̩,seltener,ˈzɛltənɐ,seltensten,ˈzɛltn̩stən,de
süß,zyːs,süßer,ˈzyːsɐ,süßesten,ˈzyːsəstn̩,Sinneseindruck:Geschmacksrichtung
