Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Typs
tauschen,ˈtaʊ̯ʃn̩,True,TRENNBAR,tausche,tauschst,tauscht,tauschen,tauscht,tauschen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
kreuzen,ˈkʁɔɪ̯t͡sn̩,True,TRENNBAR,kreuze,kreuzt,kreuzt,kreuzen,kreuzt,kreuzen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
notieren,noˈtiːʁən,True,TRENNBAR,notiere,notierst,notiert,notieren,notiert,notieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
heißen,ˈhaɪ̯sn̩,False,TRENNBAR,heiße,heißt,heißt,heißen,heißt,heißen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
verstehen,fɛɐ̯ˈʃteːən,False,Not,verstehe,verstehst,versteht,verstehen,versteht,verstehen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
kommen,ˈkɔmən,False,TRENNBAR,komme,kommst,kommt,kommen,kommt,kommen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
sein,zaɪ̯n,False,Not,[bin],[bist],[ist],[sind],[seid],[sind],ICH,DU,ERSIEES,WIR,IHR,SIE,[war],[war]st,[war],[war]en,[war]t,[war]en,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de:Hilfsverb
wohnen,ˈvoːnən,True,TRENNBAR,wohne,wohnst,wohnt,wohnen,wohnt,wohnen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gewohnt,haben,*
lernen,ˈlɛʁnən,True,Not,lerne,lernst,lernt,lernen,lernt,lernen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gelernt,haben,*
kochen,ˈkɔxn̩,True,TRENNBAR,koche,kochst,kocht,kochen,kocht,kochen,ICH,DU,ERSIEES,WIR,IHR,SIE,kochte,kochtest,kochte,kochten,kochtet,kochten,ICH,DU,ERSIEES,WIR,IHR,SIE,gekocht,haben,de
fotografieren,fotoɡʁaˈfiːʁən,True,TRENNBAR,fotografiere,fotografierst,fotografiert,fotografieren,fotografiert,fotografieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
schwimmen,ˈʃvɪmən,False,TRENNBAR,schwimme,schwimmst,schwimmt,schwimmen,schwimmt,schwimmen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
tanzen,ˈtant͡sn̩,True,Not,tanze,tanzt,tanzt,tanzen,tanzt,tanzen,ICH,DU,ERSIEES,WIR,IHR,SIE,tanzte,tanztest,tanzte,tanzten,tanztet,tanzten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Lehnwort.fr
machen,ˈmaxn̩,True,TRENNBAR,mache,machst,macht,machen,macht,machen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gemacht,haben,*
sagen,ˈzaːɡn̩,True,TRENNBAR,sage,sagst,sagt,sagen,sagt,sagen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
zeigen,ˈt͡saɪ̯ɡn̩,True,TRENNBAR,zeige,zeigst,zeigt,zeigen,zeigt,zeigen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
malen,ˈmaːlən,True,TRENNBAR,male,malst,malt,malen,malt,malen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gemalt,haben,*
